ORI_ZONE,DST_ZONE,hour,day,date,count,probability
0.0,0.0,13,6,2017-09-24,3,4.1326298678935985e-05
0.0,0.0,13,6,2017-10-01,1,1.3775432892978662e-05
0.0,0.0,13,6,2017-10-08,1,1.3775432892978662e-05
0.0,0.0,13,6,2017-10-15,1,1.3775432892978662e-05
0.0,0.0,13,6,2017-10-29,1,1.3775432892978662e-05
0.0,0.0,14,0,2017-09-25,3,4.1326298678935985e-05
0.0,0.0,14,0,2017-10-09,1,1.3775432892978662e-05
0.0,0.0,14,0,2017-10-16,1,1.3775432892978662e-05
0.0,0.0,14,0,2017-10-30,1,1.3775432892978662e-05
0.0,0.0,14,1,2017-09-12,2,2.7550865785957323e-05
0.0,0.0,14,1,2017-09-19,2,2.7550865785957323e-05
0.0,0.0,14,1,2017-09-26,1,1.3775432892978662e-05
0.0,0.0,14,1,2017-10-03,1,1.3775432892978662e-05
0.0,0.0,14,1,2017-10-17,2,2.7550865785957323e-05
0.0,0.0,14,1,2017-10-24,3,4.1326298678935985e-05
0.0,0.0,14,1,2017-10-31,1,1.3775432892978662e-05
0.0,0.0,14,2,2017-09-06,2,2.7550865785957323e-05
0.0,0.0,14,2,2017-09-13,1,1.3775432892978662e-05
0.0,0.0,14,2,2017-09-20,2,2.7550865785957323e-05
0.0,0.0,14,2,2017-09-27,1,1.3775432892978662e-05
0.0,0.0,14,2,2017-10-11,2,2.7550865785957323e-05
0.0,0.0,14,2,2017-10-18,1,1.3775432892978662e-05
0.0,0.0,14,3,2017-09-14,2,2.7550865785957323e-05
0.0,0.0,14,3,2017-09-21,2,2.7550865785957323e-05
0.0,0.0,14,3,2017-09-28,4,5.5101731571914646e-05
0.0,0.0,14,3,2017-10-05,1,1.3775432892978662e-05
0.0,0.0,14,3,2017-10-12,3,4.1326298678935985e-05
0.0,0.0,14,3,2017-10-26,3,4.1326298678935985e-05
0.0,0.0,14,4,2017-09-01,1,1.3775432892978662e-05
0.0,0.0,14,4,2017-09-08,1,1.3775432892978662e-05
0.0,0.0,14,4,2017-09-15,1,1.3775432892978662e-05
0.0,0.0,14,4,2017-09-29,1,1.3775432892978662e-05
0.0,0.0,14,4,2017-10-06,7,9.642803025085063e-05
0.0,0.0,14,4,2017-10-13,3,4.1326298678935985e-05
0.0,0.0,14,4,2017-10-27,1,1.3775432892978662e-05
0.0,0.0,14,5,2017-09-09,1,1.3775432892978662e-05
0.0,0.0,14,5,2017-09-16,1,1.3775432892978662e-05
0.0,0.0,14,5,2017-09-23,2,2.7550865785957323e-05
0.0,0.0,14,5,2017-10-07,2,2.7550865785957323e-05
0.0,0.0,14,5,2017-10-14,1,1.3775432892978662e-05
0.0,0.0,14,5,2017-10-21,5,6.887716446489331e-05
0.0,0.0,14,5,2017-10-28,2,2.7550865785957323e-05
0.0,0.0,14,6,2017-09-17,4,5.5101731571914646e-05
0.0,0.0,14,6,2017-09-24,1,1.3775432892978662e-05
0.0,0.0,14,6,2017-10-01,1,1.3775432892978662e-05
0.0,0.0,14,6,2017-10-08,2,2.7550865785957323e-05
0.0,0.0,14,6,2017-10-15,1,1.3775432892978662e-05
