ORI_ZONE,DST_ZONE,hour,day,date,count,probability
0.0,0.0,8,3,2017-09-14,8,8.839192981680772e-05
0.0,0.0,8,3,2017-09-21,2,2.209798245420193e-05
0.0,0.0,8,3,2017-10-05,5,5.524495613550483e-05
0.0,0.0,8,3,2017-10-12,1,1.1048991227100966e-05
0.0,0.0,8,3,2017-10-19,9,9.944092104390869e-05
0.0,0.0,8,3,2017-10-26,2,2.209798245420193e-05
0.0,0.0,8,4,2017-09-01,5,5.524495613550483e-05
0.0,0.0,8,4,2017-09-08,2,2.209798245420193e-05
0.0,0.0,8,4,2017-09-15,1,1.1048991227100966e-05
0.0,0.0,8,4,2017-10-06,2,2.209798245420193e-05
0.0,0.0,8,4,2017-10-13,7,7.734293858970676e-05
0.0,0.0,8,4,2017-10-20,4,4.419596490840386e-05
0.0,0.0,8,4,2017-10-27,5,5.524495613550483e-05
0.0,0.0,8,5,2017-09-09,1,1.1048991227100966e-05
0.0,0.0,8,5,2017-09-16,1,1.1048991227100966e-05
0.0,0.0,8,5,2017-09-23,3,3.31469736813029e-05
0.0,0.0,8,5,2017-10-14,2,2.209798245420193e-05
0.0,0.0,8,5,2017-10-21,5,5.524495613550483e-05
0.0,0.0,8,5,2017-10-28,6,6.62939473626058e-05
0.0,0.0,8,6,2017-09-10,2,2.209798245420193e-05
0.0,0.0,8,6,2017-09-17,2,2.209798245420193e-05
0.0,0.0,8,6,2017-10-01,3,3.31469736813029e-05
0.0,0.0,8,6,2017-10-08,2,2.209798245420193e-05
0.0,0.0,8,6,2017-10-15,1,1.1048991227100966e-05
0.0,0.0,8,6,2017-10-29,4,4.419596490840386e-05
0.0,0.0,9,0,2017-09-11,4,4.419596490840386e-05
0.0,0.0,9,0,2017-09-18,3,3.31469736813029e-05
0.0,0.0,9,0,2017-09-25,5,5.524495613550483e-05
0.0,0.0,9,0,2017-10-16,4,4.419596490840386e-05
0.0,0.0,9,0,2017-10-23,4,4.419596490840386e-05
0.0,0.0,9,0,2017-10-30,3,3.31469736813029e-05
0.0,0.0,9,1,2017-09-05,1,1.1048991227100966e-05
0.0,0.0,9,1,2017-09-12,2,2.209798245420193e-05
0.0,0.0,9,1,2017-09-19,6,6.62939473626058e-05
0.0,0.0,9,1,2017-09-26,4,4.419596490840386e-05
0.0,0.0,9,1,2017-10-03,2,2.209798245420193e-05
